ProductID,Name,UnitPrice,StockQuantity,Description
1001,NVIDIA RTX 4090,1599.99,12,High-end GPU with 24GB VRAM for 4K gaming.
1002,AMD Ryzen 9 7950X,549.00,25,16-core 32-thread enthusiast desktop processor.
1003,Samsung 990 Pro 2TB,179.99,40,PCIe Gen4 NVMe M.2 SSD with 7450MB/s reads.
1004,Corsair Vengeance 32GB DDR5,115.00,60,6000MHz CL36 Dual Channel Memory Kit.
1005,ASUS ROG Strix Z790-E,489.99,15,Intel Z790 LGA 1700 ATX Gaming Motherboard.
1006,EVGA SuperNova 850 G6,139.50,30,850W 80 Plus Gold Fully Modular Power Supply.
1007,NZXT H7 Flow Case,129.99,22,Mid-tower ATX case with high-airflow mesh front.
1008,Noctua NH-D15,109.95,45,Dual-tower flagship CPU air cooler.
1009,Western Digital Black 4TB,99.99,50,7200 RPM Internal SATA Hard Drive.
1010,Intel Core i7-13700K,385.00,18,16-core (8P+8E) unlocked desktop processor.
1011,MSI Ventus 3X RTX 4070,599.99,10,Mid-range Ada Lovelace architecture GPU.
1012,G.Skill Trident Z5 64GB,229.00,15,DDR5-6400 high-capacity performance RAM.
1013,Be Quiet! Silent Wings 4,24.90,100,120mm PWM high-performance cooling fan.
1014,Lian Li SL-Infinity 120,29.99,85,Addressable RGB fan with daisy-chaining.
1015,Crucial P5 Plus 1TB,89.99,55,Gen4 NVMe SSD with heat sink compatibility.
1016,Seasonic Focus GX-1000,169.00,20,1000W 80+ Gold power supply for high-end builds.
1017,Gigabyte M27Q Monitor,299.99,14,27-inch 1440p 170Hz IPS gaming display.
1018,Logitech G Pro X Superlight,145.00,35,Ultra-lightweight wireless gaming mouse.
1019,Keychron Q1 Mechanical Keyboard,169.00,12,75% layout fully customizable keyboard.
1020,Arctic Silver 5 Thermal Paste,7.99,200,High-density polysynthetic silver thermal compound.
1021,AMD Radeon RX 7900 XTX,949.00,8,RDNA 3 flagship GPU with 24GB GDDR6.
1022,Intel Core i5-13600K,319.00,22,14-core mid-range gaming CPU.
1023,ASRock B650M Pro RS,139.99,14,Micro ATX AM5 motherboard for Ryzen 7000.
1024,Teamgroup T-Force 16GB,54.99,75,DDR4 3600MHz CL18 Gaming RAM.
1025,Fractal Design North,149.50,11,Mid-tower case with real wood front panels.
1026,Corsair RM1000e,159.99,28,1000W ATX 3.0 fully modular power supply.
1027,Arctic Liquid Freezer II 360,124.99,19,All-in-one liquid CPU cooler with 360mm rad.
1028,Kingston FURY Renegade 1TB,92.00,42,High-speed Gen4 SSD for gaming and content.
1029,SteelSeries Apex Pro,179.99,20,Mechanical keyboard with adjustable actuation.
1030,Razer DeathAdder V3 Pro,149.99,30,Ergonomic lightweight wireless gaming mouse.
1031,ASUS TUF Gaming RTX 4080,1199.99,5,Durable high-performance 40-series GPU.
1032,AMD Ryzen 5 7600X,229.00,40,Budget-friendly 6-core AM5 processor.
1033,MSI MAG B650 Tomahawk,219.99,12,Solid AM5 motherboard with great VRMs.
1034,Corsair Dominator 32GB,185.00,25,Premium DDR5 memory with CAPELLIX LEDs.
1035,Western Digital SN850X 1TB,109.99,38,Top-tier PCIe 4.0 gaming SSD.
1036,Phanteks NV7 Case,219.99,7,Showcase full-tower case with seamless glass.
1037,Thermaltake Toughpower 750W,105.00,33,80+ Gold semi-modular power supply.
1038,Deepcool AK620,64.99,50,High-performance dual-tower air cooler.
1039,Seagate IronWolf 8TB,189.99,15,NAS-optimized 7200RPM hard drive.
1040,Intel Core i9-13900KS,729.00,4,Special edition 6GHz out-of-the-box CPU.
1041,Gigabyte Eagle RTX 3060,289.99,18,Entry-level 1080p Ray Tracing GPU.
1042,Crucial RAM 16GB DDR5,45.00,100,Basic 4800MHz DDR5 non-RGB stick.
1043,Corsair iCUE H150i Elite,199.99,14,360mm AIO with LCD screen pump head.
1044,Lian Li O11 Dynamic EVO,175.00,20,Modular mid-tower popular for water cooling.
1045,Sabrent Rocket 4 Plus 2TB,199.99,22,DirectStorage ready high-speed NVMe.
